,提示词方法,错误类型,次数
0,完整四级机制,API调用失败,1778
1,完整四级机制,"数值错误: drone_num,path",5
2,完整四级机制,"数值错误: drone_num,path,height",5
3,完整四级机制,数值错误: has_obstacle,3
4,普通提示词,API调用失败,707
5,普通提示词,数值错误: area,9
6,普通提示词,"数值错误: area,drone_num",3
7,普通提示词,"数值错误: area,drone_num,path",12
8,普通提示词,"数值错误: area,path",1
9,普通提示词,"数值错误: area_bounds,has_obstacle",59
10,普通提示词,"数值错误: area_bounds,has_obstacle,height",24
11,普通提示词,"数值错误: area_bounds,has_obstacle,obstacle_position",35
12,普通提示词,"数值错误: area_bounds,has_obstacle,obstacle_position,height",21
13,普通提示词,"数值错误: area_bounds,height",10
14,普通提示词,数值错误: drone_num,12
15,普通提示词,"数值错误: drone_num,area_bounds",78
16,普通提示词,"数值错误: drone_num,area_bounds,has_obstacle",53
17,普通提示词,"数值错误: drone_num,area_bounds,has_obstacle,obstacle_position",13
18,普通提示词,"数值错误: drone_num,has_obstacle",8
19,普通提示词,"数值错误: drone_num,has_obstacle,obstacle_position",4
20,普通提示词,"数值错误: drone_num,path",30
21,普通提示词,"数值错误: drone_num,path,area_bounds",9
22,普通提示词,"数值错误: drone_num,path,area_bounds,has_obstacle",12
23,普通提示词,"数值错误: drone_num,path,area_bounds,has_obstacle,obstacle_position",7
24,普通提示词,"数值错误: drone_num,path,has_obstacle,obstacle_position",1
25,普通提示词,"数值错误: drone_num,path,obstacle_position",1
26,普通提示词,数值错误: has_obstacle,7
27,普通提示词,"数值错误: has_obstacle,height",3
28,普通提示词,"数值错误: has_obstacle,obstacle_position",12
29,普通提示词,"数值错误: has_obstacle,obstacle_position,height",6
30,普通提示词,数值错误: height,2
31,普通提示词,数值错误: path,17
32,普通提示词,"数值错误: path,area_bounds",25
33,普通提示词,"数值错误: path,area_bounds,has_obstacle",2
34,普通提示词,"数值错误: path,area_bounds,has_obstacle,height",17
35,普通提示词,"数值错误: path,area_bounds,has_obstacle,obstacle_position",2
36,普通提示词,"数值错误: path,area_bounds,has_obstacle,obstacle_position,height",8
37,普通提示词,"数值错误: path,area_bounds,height",7
38,普通提示词,"数值错误: path,height",12
39,普通提示词,类型错误: area(NoneType≠str),5
40,普通提示词,类型错误: area(list≠str),109
41,普通提示词,"类型错误: area(list≠str),height(NoneType≠int)",2
42,普通提示词,"类型错误: area(list≠str),path(NoneType≠str)",4
43,普通提示词,"类型错误: area(list≠str),path(list≠str)",27
44,普通提示词,类型错误: drone_num(NoneType≠int),2
45,普通提示词,"类型错误: drone_num(NoneType≠int),height(NoneType≠int)",1
46,普通提示词,"类型错误: drone_num(NoneType≠int),path(NoneType≠str),height(NoneType≠int)",7
47,普通提示词,类型错误: height(NoneType≠int),7
48,普通提示词,类型错误: height(str≠int),6
49,普通提示词,类型错误: path(NoneType≠str),109
50,普通提示词,"类型错误: path(NoneType≠str),height(NoneType≠int)",5
51,结构化提示词+合法性校验,API调用失败,1078
52,结构化提示词+合法性校验,"数值错误: area,drone_num",1
53,结构化提示词+合法性校验,"数值错误: area,has_obstacle,height",1
54,结构化提示词+合法性校验,数值错误: drone_num,55
55,结构化提示词+合法性校验,"数值错误: drone_num,has_obstacle",17
56,结构化提示词+合法性校验,"数值错误: drone_num,has_obstacle,obstacle_position",35
57,结构化提示词+合法性校验,"数值错误: drone_num,path",8
58,结构化提示词+合法性校验,"数值错误: drone_num,path,height",10
59,结构化提示词+合法性校验,数值错误: has_obstacle,59
60,结构化提示词+合法性校验,"数值错误: has_obstacle,height",26
61,结构化提示词+合法性校验,"数值错误: has_obstacle,obstacle_position",65
62,结构化提示词+合法性校验,"数值错误: has_obstacle,obstacle_position,height",39
63,结构化提示词+合法性校验,数值错误: height,34
64,结构化提示词+合法性校验,数值错误: path,20
