,,解析成功率,解析成功率,解析成功率,解析正确率,解析正确率,解析正确率,响应时间(s),响应时间(s),响应时间(s),意图识别准确率,意图识别准确率,意图识别准确率,参数抽取准确率,参数抽取准确率,参数抽取准确率,合法JSON率,合法JSON率,合法JSON率,参数匹配F1,参数匹配F1,参数匹配F1,失败兜底成功率,失败兜底成功率,失败兜底成功率
,,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem
模型名称,提示词方法,,,,,,,,,,,,,,,,,,,,,,,,
deepseek-v3-2-251201,完整四级机制,0.0,0.0,0.0,0.0,0.0,0.0,1.4735,0.0923,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-v3-2-251201,普通提示词,1.0,0.0,0.0,0.21,0.4076,0.0166,3.5708,0.4316,0.0176,0.13,0.3366,0.0137,0.6433,0.2059,0.0084,0.2183,0.4135,0.0169,0.6809,0.2141,0.0087,0.0,0.0,0.0
deepseek-v3-2-251201,结构化提示词+合法性校验,0.3367,0.473,0.0193,0.195,0.3965,0.0162,2.2269,1.0736,0.0438,0.1233,0.3291,0.0134,0.3062,0.4367,0.0178,0.3367,0.473,0.0193,0.2991,0.4296,0.0175,0.01,0.0996,0.0041
doubao-1-5-pro-32k-250115,完整四级机制,0.0367,0.1881,0.0077,0.015,0.1217,0.005,1.5652,0.3614,0.0148,0.0283,0.1661,0.0068,0.0289,0.1532,0.0063,0.0367,0.1881,0.0077,0.0273,0.1477,0.006,0.0,0.0,0.0
doubao-1-5-pro-32k-250115,普通提示词,1.0,0.0,0.0,0.2283,0.4201,0.0172,2.8327,0.4762,0.0194,0.1267,0.3329,0.0136,0.6519,0.1717,0.007,0.01,0.0996,0.0041,0.7399,0.1896,0.0077,0.0,0.0,0.0
doubao-1-5-pro-32k-250115,结构化提示词+合法性校验,1.0,0.0,0.0,0.3917,0.4885,0.0199,3.1024,1.0298,0.042,0.15,0.3574,0.0146,0.8375,0.1592,0.0065,0.8367,0.37,0.0151,0.8208,0.1752,0.0072,0.01,0.0996,0.0041
glm-4-7-251222,完整四级机制,0.0,0.0,0.0,0.0,0.0,0.0,1.4804,0.0979,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glm-4-7-251222,普通提示词,0.0917,0.2888,0.0118,0.04,0.1961,0.008,9.6301,16.5181,0.6744,0.045,0.2075,0.0085,0.0762,0.2461,0.01,0.0583,0.2346,0.0096,0.0754,0.2442,0.01,0.0,0.0,0.0
glm-4-7-251222,结构化提示词+合法性校验,0.0,0.0,0.0,0.0,0.0,0.0,1.463,0.0906,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
