指令,模型,解析是否成功,解析是否正确,响应时间 (秒),解析结果,错误信息,area 正确,drone_num 正确,path 正确,has_obstacle 正确,obstacle_position 正确,height 正确
我要对 A01 地块进行巡检，使用 3 台无人机,doubao-1-5-pro-32k-250115,True,True,3.54,"{""area"": ""A01"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,True,True,True,True,True,True
巡检 B02 地块，高度 8 米，发现障碍自动绕开,doubao-1-5-pro-32k-250115,True,True,2.78,"{""area"": ""B02"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": true, ""obstacle_position"": null, ""height"": 8}",,True,True,True,True,True,True
同时巡检 A01 和 B02 两个地块，每台无人机负责一个区域,doubao-1-5-pro-32k-250115,True,False,3.2,"{""area"": ""A01,B02"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,True,False,False,True,True,True
对 C03 地块进行病虫害专项检测，拍摄高清照片,doubao-1-5-pro-32k-250115,True,False,2.5,"{""area"": ""C03"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,True,False,False,True,True,False
让无人机在 10 米高度绕农田飞行一圈,doubao-1-5-pro-32k-250115,True,True,2.69,"{""area"": ""default_farm"", ""drone_num"": 3, ""path"": ""round"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,True,True,True,True,True,True
巡检 D04 地块，无人机数量 2 台，路径采用网格状,doubao-1-5-pro-32k-250115,True,True,2.75,"{""area"": ""D04"", ""drone_num"": 2, ""path"": ""grid"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,True,True,True,True,True,True
"E05 地块有电线杆障碍，坐标 (50,80)，请绕开",doubao-1-5-pro-32k-250115,True,True,2.51,"{""area"": ""E05"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": true, ""obstacle_position"": [50, 80], ""height"": 10}",,True,True,True,True,True,True
6 台无人机巡检 F06 地块，高度 12 米，之字形路径,doubao-1-5-pro-32k-250115,True,True,3.03,"{""area"": ""F06"", ""drone_num"": 6, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 12}",,True,True,True,True,True,True
巡检 G07 地块，无障碍物，飞行高度 9 米,doubao-1-5-pro-32k-250115,True,True,2.75,"{""area"": ""G07"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 9}",,True,True,True,True,True,True
"H08 地块巡检，4 台无人机，圆形路径，避开 (100,100) 的树",doubao-1-5-pro-32k-250115,True,True,3.13,"{""area"": ""H08"", ""drone_num"": 4, ""path"": ""round"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": true, ""obstacle_position"": [100, 100], ""height"": 10}",,True,True,True,True,True,True
批量巡检 I09、J10 地块，各用 2 台无人机，高度 11 米,doubao-1-5-pro-32k-250115,True,False,3.67,"{""area"": ""I09,J10"", ""drone_num"": 2, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 11}",,True,False,False,True,True,True
K11 地块病虫害检测，1 台无人机，网格路径，高度 18 米,doubao-1-5-pro-32k-250115,True,True,3.76,"{""area"": ""K11"", ""drone_num"": 1, ""path"": ""grid"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 18}",,True,True,True,True,True,True
L12 地块有多个障碍，先标记存在障碍，坐标暂不指定,doubao-1-5-pro-32k-250115,True,True,2.82,"{""area"": ""L12"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": true, ""obstacle_position"": null, ""height"": 10}",,True,True,True,True,True,True
M13 地块巡检，5 台无人机，高度 7 米，绕圈飞行,doubao-1-5-pro-32k-250115,True,True,3.26,"{""area"": ""M13"", ""drone_num"": 5, ""path"": ""round"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 7}",,True,True,True,True,True,True
默认地块巡检，3 台无人机，默认高度和路径,doubao-1-5-pro-32k-250115,True,True,3.02,"{""area"": ""default_farm"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,True,True,True,True,True,True
